band,population,country,year,sex,ci1,rs,tail.mean,weight,date,t.avg.bright,t.hue,t.chrom,r.avg.bright,r.hue,r.chrom,b.avg.bright,b.hue,b.chrom,v.avg.bright,v.hue,v.chrom,band_x_pop,lat,long
2540-44598,colorado,USA,2008,F,146,2,70.5,19.5,52308,16.74258488,644.51,0.547737593,39.54513437,611.3633333,0.425852395,31.5051983,659.1433333,0.420022758,29.47665899,627.12,0.471840319,2540-44598 CO,40.0274,-105.2519
2540-44599,colorado,USA,2008,F,151,0,70.91666666500001,16.5,51908,17.95420614,601.1333333,0.499600596,25.14445719,621.7066667,0.481642562,30.68072058,595.6766667,0.484506493,29.35204173,611.0766667,0.46697505499999997,2540-44599 CO,40.0274,-105.2519
2540-44600,colorado,USA,2008,F,155,4,80.41666666500001,17,52308,20.09759306,633.76,0.529073827,34.20648389,608.7266667,0.4342314,32.77317977,632.77,0.453394991,27.64099616,587.3733333,0.478362736,2540-44600 CO,40.0274,-105.2519
2540-44601,colorado,USA,2008,F,146,8,76,20.5,52308,28.76786329,638.42,0.446470399,48.05472592,581.42,0.374965651,44.42208146,580.41,0.384215805,34.55508897,628.4533333,0.391875761,2540-44601 CO,40.0274,-105.2519
2540-44602,colorado,USA,2008,M,146,2,93.91666666500001,17.5,52308,9.967337172,667.09,0.582652506,28.14422984,667.4066667,0.478619972,27.08941629,619.0866667,0.463821746,22.79162243,609.4033333,0.505971269,2540-44602 CO,40.0274,-105.2519
2540-44603,colorado,USA,2008,F,154,4,76.75,19,52308,30.12099282,601.0666667,0.462409985,47.85611668,605.0633333,0.392050128,37.05937957,648.0266667,0.399915428,37.98874528,594.12,0.432552422,2540-44603 CO,40.0274,-105.2519
2540-44605,colorado,USA,2008,M,155,4,84.91666666500001,17,52308,19.42938324,644.08,0.458499646,30.47107962,635.7733333,0.37602041,27.27234201,659.1266667,0.491421881,34.61578134,599.0966667,0.411343996,2540-44605 CO,40.0274,-105.2519
2540-44606,colorado,USA,2008,M,146,0,88.5,NA,52308,23.02914054,647.4066667,0.476667059,34.65738424,624.4366667,0.427354784,33.74724186,646.1433333,0.450886358,30.51990152,626.1633333,0.45299322,2540-44606 CO,40.0274,-105.2519
2540-44607,colorado,USA,2008,F,146,0,75.5,20,52308,24.71368469,631.3933333,0.484590802,35.24653363,581.4133333,0.460580121,31.09571657,626.47,0.469361633,31.52348857,647.7266667,0.457911569,2540-44607 CO,40.0274,-105.2519
2540-44608,colorado,USA,2008,F,156,9,80.83333333,16.5,52308,16.60195827,635.0266667,0.543655661,41.25633717,564.41,0.420009379,30.80294241,576.43,0.452206147,23.23634735,587.7733333,0.476012356,2540-44608 CO,40.0274,-105.2519
2540-44609,colorado,USA,2008,M,166,4,88.75,17.5,52308,12.78684477,652.3766667,0.568783634,32.61161125,642.7266667,0.411757483,36.63985128,593.12,0.413555069,36.41068252,644.09,0.404893761,2540-44609 CO,40.0274,-105.2519
2540-44611,colorado,USA,2008,F,132,7,74.5,20,52308,13.13687715,658.4333333,0.475718432,30.97514271,606.73,0.469195178,27.41016107,638.0866667,0.464590558,27.43635003,634.48,0.454241581,2540-44611 CO,40.0274,-105.2519
2540-44612,colorado,USA,2008,F,143,4,80.75,18.25,NA,24.2481307,644.0533333,0.5149848,46.33028042,605.7466667,0.381830562,30.99118044,628.44,0.409404289,25.58814722,588.4066667,0.403763269,2540-44612 CO,40.0274,-105.2519
2540-44613,colorado,USA,2008,F,138,5,76.5,20,52808,18.57537389,635.07,0.521879451,41.6837982,574.7466667,0.407371302,40.644801030000004,598.4433333,0.389429492,35.13813737,595.79,0.423533147,2540-44613 CO,40.0274,-105.2519
2540-44614,colorado,USA,2008,F,147,7,78,17.75,52808,27.9752437,611.8,0.497188977,35.60748656,598.0766667,0.454891374,34.80236772,577.42,0.435149306,21.40641879,650.1033333,0.484900861,2540-44614 CO,40.0274,-105.2519
2540-44615,colorado,USA,2008,M,NA,NA,71,15.75,52808,32.85051744,629.46,0.445405398,38.92847722,595.8133333,0.436710417,33.15798932,588.0433333,0.437066007,26.98559806,692.7833333,0.45288626,2540-44615 CO,40.0274,-105.2519
